,nameQuad,voltage,subOr,subEx,xOr,yOr,xEx,yEx
871,line_871,225.0,sub_1744,sub_4093,5.3552313506174904,48.0399666375393,5.29665655914676,47.923378906161396
872,line_872,225.0,sub_4294,sub_2064,7.2677343892584805,47.340384670869796,7.24773438925848,47.340384670869796
873,line_873,400.0,sub_1135,sub_2732,7.25773438925848,47.3503846708698,7.650153786251099,47.4383630335375
874,line_874,400.0,sub_1135,sub_3793,7.25773438925848,47.3503846708698,8.02640001756738,47.54558019153029
875,line_875,400.0,sub_1135,sub_4294,7.25773438925848,47.3503846708698,7.2677343892584805,47.340384670869796
876,line_877,400.0,sub_1135,sub_4294,7.25773438925848,47.3503846708698,7.2677343892584805,47.340384670869796
877,line_877,400.0,sub_1135,sub_1525,7.25773438925848,47.3503846708698,7.25773438925848,47.3303846708698
878,line_878,63.0,sub_1751,sub_1084,-0.529148155469661,44.9174094234688,-0.44010434658870207,44.9422034704176
879,line_879,225.0,sub_1751,sub_421,-0.529148155469661,44.9174094234688,-0.554888368186857,44.9881225009477
880,line_880,63.0,sub_1751,sub_3541,-0.529148155469661,44.9174094234688,-0.52592735851837,44.9205808032134
881,line_881,63.0,sub_1751,sub_1596,-0.529148155469661,44.9174094234688,-0.511857011041647,44.91328050525289
882,line_882,400.0,sub_1135,sub_2440,7.25773438925848,47.3503846708698,6.65028831619005,47.3693085613594
883,line_883,400.0,sub_1135,sub_2177,7.25773438925848,47.3503846708698,7.45903661110584,47.655477956382505
884,line_884,225.0,sub_2114,sub_3901,5.54400804835624,43.2852636119981,5.495343387909171,43.320999111061795
885,line_885,63.0,sub_4829,sub_4405,0.0471381799648512,43.224833557657604,-0.0252677079392438,43.101194273265705
886,line_886,63.0,sub_4829,sub_1079,0.0471381799648512,43.224833557657604,0.0700075345068282,43.239521785441504
887,line_887,63.0,sub_4829,sub_452,0.0471381799648512,43.224833557657604,0.0693330735903591,43.25152115327911
888,line_888,63.0,sub_4829,sub_1026,0.0471381799648512,43.224833557657604,0.0462773399865014,43.2709977858374
889,line_889,150.0,sub_3801,sub_1299,0.0321381799648512,43.233493811695496,-0.399013511136949,43.2735778662328
890,line_890,225.0,sub_3801,sub_751,0.0321381799648512,43.233493811695496,0.385872144677717,43.1209172330438
891,line_891,225.0,sub_1650,sub_262,0.0321381799648512,43.2161733036198,0.385872144677717,43.1035967249681
892,line_892,150.0,sub_4829,sub_3801,0.0471381799648512,43.224833557657604,0.0321381799648512,43.233493811695496
893,line_893,150.0,sub_4829,sub_3801,0.0471381799648512,43.224833557657604,0.0321381799648512,43.233493811695496
894,line_894,150.0,sub_4829,sub_3801,0.0471381799648512,43.224833557657604,0.0321381799648512,43.233493811695496
895,line_895,225.0,sub_4829,sub_1650,0.0471381799648512,43.224833557657604,0.0321381799648512,43.2161733036198
896,line_896,90.0,sub_3643,sub_1468,2.3159227302428396,50.717260445428295,2.4015647013211603,50.685741789412795
897,line_897,90.0,sub_3643,sub_4879,2.3159227302428396,50.717260445428295,2.29234649856978,50.7201482511785
898,line_898,90.0,sub_3643,sub_1723,2.3159227302428396,50.717260445428295,2.2923077877945897,50.720121763112296
899,line_899,225.0,sub_4967,sub_4416,2.3384100329491297,48.907116352498704,2.33873305386365,48.9081935008257
900,line_900,225.0,sub_934,sub_5124,6.438832396740461,45.6558120379794,6.48408036736247,45.5098007271548
901,line_901,225.0,sub_4037,sub_606,7.01832284547233,46.154763122378505,7.015685233728759,46.223758744448006
902,line_902,225.0,sub_2515,sub_1509,2.33287998401831,48.881249076713296,2.32834113003688,48.8809512485726
903,line_903,225.0,sub_2515,sub_3401,2.33287998401831,48.881249076713296,2.29442145049028,48.8948713504492
904,line_904,225.0,sub_2515,sub_1509,2.33287998401831,48.881249076713296,2.32834113003688,48.8809512485726
905,line_905,225.0,sub_4037,sub_2436,7.01832284547233,46.154763122378505,6.958520464258,46.0549982643174
906,line_906,63.0,sub_1411,sub_815,5.9748014057705,49.173478448321895,5.89691148651624,49.1697617735876
907,line_907,225.0,sub_1411,sub_4077,5.9748014057705,49.173478448321895,6.01406117180701,49.2119714472863
908,line_908,225.0,sub_2212,sub_3719,7.72546694795649,48.800704640211805,7.903079821668121,48.6966851540994
909,line_909,225.0,sub_2212,sub_2272,7.72546694795649,48.800704640211805,7.7539065960091,48.8219924557845
910,line_910,400.0,sub_2212,sub_4263,7.72546694795649,48.800704640211805,7.528285667375981,48.6135014010287
911,line_911,225.0,sub_2212,sub_306,7.72546694795649,48.800704640211805,7.71220491417844,48.6466742358733
912,line_912,225.0,sub_2212,sub_2272,7.72546694795649,48.800704640211805,7.7539065960091,48.8219924557845
913,line_913,225.0,sub_2772,sub_952,-3.1147232870069996,47.943772372455996,-3.29385305603095,47.828486041196605
914,line_914,63.0,sub_2772,sub_3852,-3.1147232870069996,47.943772372455996,-2.93559351798306,48.05905870371549
915,line_915,225.0,sub_3206,sub_3401,2.31732303599995,48.86998021948279,2.29442145049028,48.8948713504492
916,line_916,225.0,sub_1348,sub_2976,-0.0865651467534041,47.53174945144939,-0.464892505120891,47.4862692352577
917,line_917,90.0,sub_1348,sub_2627,-0.0865651467534041,47.53174945144939,-0.07854416884273199,47.7022902091862
918,line_918,90.0,sub_1348,sub_48,-0.0865651467534041,47.53174945144939,-0.0751246489364829,47.366558503454
919,line_919,45.0,sub_1805,sub_1756,-2.37269861916525,47.2919681785836,-2.44010280640196,47.3733601648798
920,line_920,225.0,sub_1805,sub_4162,-2.37269861916525,47.2919681785836,-2.1529053085435,47.3405085720372
921,line_921,225.0,sub_1805,sub_4162,-2.37269861916525,47.2919681785836,-2.1529053085435,47.3405085720372
922,line_922,63.0,sub_455,sub_2615,5.07590865661414,48.544254419787904,4.97641261109083,48.4939883615756
923,line_923,63.0,sub_455,sub_2563,5.07590865661414,48.544254419787904,5.153101181690929,48.444839809179896
924,line_924,63.0,sub_455,sub_5055,5.07590865661414,48.544254419787904,4.99696361446811,48.62660223513479
925,line_925,63.0,sub_3404,sub_1909,3.29899067190188,46.283104862064896,3.09990741017154,46.20144019406
926,line_926,63.0,sub_3404,sub_385,3.29899067190188,46.283104862064896,3.70186136373048,46.516625225300295
927,line_927,63.0,sub_3404,sub_3140,3.29899067190188,46.283104862064896,3.2174097188649,46.0992082620678
